"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6668422696757381, 1.0305210189013643, -0.49759072638479684, -1.194699320330462, 1.9347647140458977, -0.08128403308435751, -0.9970336801912962]","[0.658435796466559, 1.0318850135948712, -0.49116780821436906, -1.2073116593552455, 1.9207428021899173, -0.0846969374009805, -0.9891831664754738]","[0.6396491399118205, 1.0349332478795434, -0.4768139698395247, -1.235497519907542, 1.8894068500344423, -0.09232404328178807, -0.9716389596139823]","[0.6190302643605522, 1.03827876937687, -0.4610602349334971, -1.2664322819999814, 1.8550147752183799, -0.10069500309118809, -0.95238370698993]","[0.6089091016175326, 1.0399209815067467, -0.4533272179511775, -1.2816171916123251, 1.838132778650819, -0.10480404610546643, -0.9429319041997435]","[0.6086970969924995, 1.0399553803772776, -0.45316523702000017, -1.2819352648565032, 1.8377791570914201, -0.10489011686093254, -0.9427339204347059]","[0.5998626514873853, 1.0413888158369773, -0.44641532904450176, -1.2951896961779297, 1.8230433917964197, -0.10847677162674477, -0.9344837382377464]","[0.5515950162475428, 1.0492204946750638, -0.4095367161337925, -1.3676062452373823, 1.742533466886331, -0.12807272067269782, -0.8894082680552028]","[ 0.51837413  1.05461076 -0.38415449 -1.41744797  1.68712136 -0.14155991
 -0.85838443]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6951854340054243, 1.0189604812973858, -0.475079955257635, -1.2137424848667373, 1.8723265939155944, -0.10478445108730007, -0.9668425119258716]","[0.6994515731508106, 1.017089263156339, -0.4708596167862216, -1.2177687089359208, 1.8608615930642518, -0.1089811985169164, -0.9612307638872273]","[0.7078815440620816, 1.0133917010375029, -0.4625201488651606, -1.2257246031599014, 1.8382065364941824, -0.11727405009722103, -0.9501418445822128]","[0.7140517886261113, 1.0106853023080118, -0.456416147184914, -1.2315478513779798, 1.8216243630655222, -0.12334393134856281, -0.9420254056546182]","[0.7564942669263321, 0.9920691407999566, -0.4144293254033832, -1.2716034899459232, 1.7075626709213823, -0.16509605326554896, -0.8861958871509747]","[0.7831682660794624, 0.9803693650991154, -0.38804169457935184, -1.296777422101385, 1.635877849452284, -0.19133618129900756, -0.8511084797014877]","[0.7880571433504074, 0.9782250009499441, -0.3832053036119121, -1.3013913633416399, 1.622739276104504, -0.19614553758611714, -0.844677571917791]","[0.7890501118665645, 0.9777894641243509, -0.3822229954670473, -1.3023284902386882, 1.620070730964478, -0.19712235477980344, -0.8433714051630088]","[ 0.79255908  0.97625036 -0.3787517  -1.30564012  1.61064059 -0.20057425
 -0.83875565]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.679686714455524, 1.021111788335669, -0.5100788271128549, -1.1998124005342343, 1.928402937613872, -0.08830299979882816, -0.9774881748044459]","[0.680414195821354, 1.0204438958635158, -0.5108354043050336, -1.2005512925395592, 1.9275306288496974, -0.08892595702496378, -0.9757999910287729]","[0.6869668565181317, 1.0144279716659816, -0.5176501405500116, -1.2072067325685025, 1.9196734607861001, -0.09453713488216574, -0.9605939720221297]","[0.6910316733496651, 1.010696108981959, -0.5218775308991971, -1.2113353065787837, 1.9147994179398404, -0.0980179209710742, -0.9511612110630261]","[0.7232738666866145, 0.9810949133679828, -0.5554092600270217, -1.2440832228963765, 1.8761384306691302, -0.1256275729417431, -0.876340397444734]","[0.7489283412747725, 0.9575418283553829, -0.5820897927009866, -1.2701400912429237, 1.8453766488906893, -0.14759602612565503, -0.816806958091647]","[0.7496518772418728, 0.9568775581094956, -0.5828422666970793, -1.2708749759654285, 1.8445090709774365, -0.14821560482587354, -0.8151279299568427]","[0.7696678009264889, 0.938501163358964, -0.6036587330032532, -1.2912048520068313, 1.8205083659790071, -0.16535565113191694, -0.7686792383385723]","[ 0.77939137  0.92957407 -0.6137712  -1.30108093  1.80884903 -0.17368214
 -0.74611486]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6692861108721325, 1.0295660044349337, -0.5003350901443577, -1.1906239008170805, 1.9387878786806296, -0.08020342267496244, -0.9996187915873409]","[0.6551475179976233, 1.0207247238698434, -0.5070217266019987, -1.2036835480956618, 1.9141453720695238, -0.08417999739255652, -0.9924544378158774]","[0.6089778919841009, 0.9918534903041044, -0.5288569620655128, -1.2463298733751527, 1.8336751778734837, -0.09716551647183902, -0.9690592147414934]","[0.6039647438821361, 0.9887186204286353, -0.5312278556306417, -1.250960457659462, 1.8249376368507242, -0.09857549822707928, -0.9665189360284703]","[0.5937055487752158, 0.9823032421008656, -0.5360797888206599, -1.2604367521286297, 1.807056629490882, -0.10146096612668881, -0.9613203633127256]","[0.5490909027563721, 0.9544043835464224, -0.5571796197063911, -1.3016467611893852, 1.7292966487608574, -0.11400913658237863, -0.9387130847592927]","[0.5460691935697664, 0.9525148193626303, -0.5586086919620874, -1.3044378774274563, 1.7240300363568737, -0.11485901269537158, -0.9371819144512237]","[0.5085498289345063, 0.9290528502467129, -0.576352915426501, -1.3390940608681992, 1.6586365987442937, -0.12541158735064453, -0.9181699799600503]","[ 0.44973393  0.89227353 -0.60416902 -1.3934216   1.5561249  -0.14195396
 -0.8883666 ]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6679577221543666, 1.0315969150557696, -0.4982380757744988, -1.1916096276911812, 1.935428106558468, -0.08200063413905552, -0.9964791541445519]","[0.6624246028853124, 1.0359079332678522, -0.49345407789490475, -1.1960652479302814, 1.922947839174359, -0.08742282255958567, -0.9869772444849281]","[0.6561560453954319, 1.040791953327478, -0.4880342117612713, -1.2011130898913402, 1.9088087487658236, -0.09356570475356867, -0.9762123821950205]","[0.6033382686006433, 1.0819438581775203, -0.44236736094814366, -1.243645329633095, 1.789675228416854, -0.1453245633302431, -0.8855095219958679]","[0.5978714190345599, 1.0862032436879525, -0.4376406606077996, -1.248047585284259, 1.777344436142954, -0.15068181065722236, -0.8761214159071014]","[0.595943151707002, 1.0877056142609778, -0.43597345873526444, -1.2496003490172067, 1.772995118756908, -0.152571419080024, -0.8728100428722687]","[0.5693785503075777, 1.1084028873290155, -0.41300540209533776, -1.2709918589202884, 1.7130771389889135, -0.17860343955526284, -0.8271912101004975]","[0.5527111701728719, 1.1213889401889794, -0.3985945955781577, -1.2844134955505189, 1.6754829085812846, -0.19493666339744914, -0.7985686678053525]","[ 0.55008819  1.12343259 -0.39632673 -1.28652569  1.66956662 -0.19750706
 -0.79406427]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6251030412201355, 1.0557571215421284, -0.4486891088327109, -1.2146107199800453, 1.870427096930391, -0.09958727482833929, -0.9724943651004454]","[0.6181140390838035, 1.0597656285170887, -0.4407008586209191, -1.2184470610934084, 1.8595919905384033, -0.10263608377582412, -0.9682155802808565]","[0.5790828303184401, 1.0821517817225315, -0.39608918794112746, -1.2398717262988206, 1.7990815927260846, -0.11966264868362102, -0.9443200168945948]","[0.5777924295638053, 1.0828918845762077, -0.3946142929703673, -1.2405800416450108, 1.797081074026557, -0.12022555956701025, -0.9435300118191327]","[0.5327543911520565, 1.108723224671745, -0.3431369700473903, -1.265301922545007, 1.7272582397565654, -0.13987248080245998, -0.9159569661537913]","[0.5059276762198616, 1.1241095519074975, -0.31247472283977207, -1.280027405156587, 1.6856685671870264, -0.15157508539771708, -0.8995331994454361]","[0.4640661273650276, 1.1481190324161576, -0.2646280460206029, -1.3030056755603137, 1.6207702703017484, -0.16983632816379432, -0.8739048541866169]","[0.44175627287870195, 1.160914737092494, -0.2391284544696169, -1.3152518031661578, 1.5861831229187933, -0.17956854495929409, -0.8602463855180945]","[ 0.43924383  1.16235573 -0.2362568  -1.31663091  1.58228807 -0.18066454
 -0.85870823]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6693012183639824, 1.0302419339177444, -0.5004689766233394, -1.1909712921757443, 1.9379297412184184, -0.07824892526623707, -0.9963279159221898]","[0.6653891053313478, 1.0315525272260095, -0.5031141441789851, -1.1966217668388952, 1.9261254816452265, -0.06835570553971206, -0.975751775125573]","[0.6644310882372608, 1.0318734716318179, -0.5037619055585499, -1.1980054823071975, 1.9232347976696305, -0.06593300621213498, -0.9707129905993949]","[0.6604336920595646, 1.0332126355663132, -0.506464737145495, -1.2037791359905723, 1.9111732080108486, -0.05582411661972786, -0.949688294767244]","[0.6554010738226608, 1.0348986082693814, -0.5098675320977779, -1.2110480164139443, 1.8959879790806955, -0.04309728648929156, -0.9232187473502006]","[0.6424312355281298, 1.0392436216001046, -0.518637062827712, -1.22978104944675, 1.856853287272503, -0.010298269948891839, -0.8550026153950603]","[0.6366623051994642, 1.0411762655246348, -0.522537713756985, -1.238113424913329, 1.8394463385235382, 0.004290596694888946, -0.8246603625771357]","[0.6275527649035039, 1.04422804405293, -0.5286971115649503, -1.2512708225155689, 1.8119595615953288, 0.027327426920338183, -0.7767478451834584]","[ 0.62690228  1.04444596 -0.52913694 -1.25221036  1.8099968   0.02897243
 -0.77332653]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6728381719182607, 1.0093406220618488, -0.49389832887823804, -1.1892905224033603, 1.918736037792236, -0.06950883582232098, -0.9554686624123705]","[0.6744734105496161, 0.9974520944530224, -0.49038885723261205, -1.1889003254324573, 1.9064914882918573, -0.06347211748384632, -0.9298671982434858]","[0.6750832007634732, 0.9930187917814588, -0.48908015437770347, -1.1887548186606804, 1.9019254229389182, -0.061220989302290245, -0.9203202599488235]","[0.6752250456682583, 0.9919875495918643, -0.48877573356604065, -1.18872097194796, 1.9008632984729756, -0.06069734845775773, -0.9180995215331811]","[0.676592364054311, 0.9820468583245778, -0.4858412596523356, -1.1883947055044775, 1.890624916539127, -0.05564969619627923, -0.8966926442757795]","[0.6766012550327941, 0.9819822190473861, -0.48582217825571844, -1.1883925839591531, 1.8905583415304055, -0.055616873871862954, -0.8965534462023615]","[0.6783461584167243, 0.9692964057007469, -0.48207734931586893, -1.1879762190312015, 1.877492630234066, -0.04917531234398567, -0.8692350593900184]","[0.6785581032984958, 0.9677555219849548, -0.48162248325610857, -1.1879256452193554, 1.8759056021719587, -0.04839288736331162, -0.8659168285260903]","[ 0.68555612  0.91687844 -0.46660366 -1.18625579  1.82350492 -0.02255869
 -0.75635509]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6700946220816689, 1.032256033569189, -0.5128962933302045, -1.2077889419040624, 1.8867463415, -0.07394652910174809, -0.990722415056808]","[0.6701695385996899, 1.0339493323831994, -0.5226166525512572, -1.2212202053934007, 1.8465902209921865, -0.06938092770091345, -0.9837462380871207]","[0.6702119183804292, 1.0349072203678489, -0.528115395730715, -1.2288181826722175, 1.8238741681453343, -0.06679819706390279, -0.979799860730235]","[0.6702834829068651, 1.0365247558719073, -0.5374008366831097, -1.2416484908131133, 1.7855147539124756, -0.06243687447740797, -0.9731358190160985]","[0.6703248881084808, 1.0374606159551296, -0.5427731289886953, -1.2490717425528006, 1.7633210867526183, -0.05991353714817105, -0.9692801938273212]","[0.6703363713094186, 1.0377201647307894, -0.544263065268059, -1.2511304860925574, 1.7571659581794368, -0.059213721944892946, -0.9682108856955922]","[0.670736691821342, 1.0467683995656636, -0.59620433646231, -1.3229011772281467, 1.5425895317354488, -0.03481718112446839, -0.9309333024662791]","[0.6707856771579099, 1.0478755894685812, -0.6025601453090612, -1.3316834188477455, 1.5163328245324896, -0.031831891268995174, -0.9263718200876847]","[ 0.67087458  1.04988504 -0.61409535 -1.34762238  1.46867932 -0.02641387
 -0.91809315]"
"[ 0.66999523  1.03000944 -0.49999972 -1.1899689   1.94002381 -0.08000398
 -0.99997812]","[0.6695874931217349, 1.040595356947168, -0.4941308063904959, -1.2005887485447704, 1.9304485912390725, -0.09090449122773456, -0.9919634349899998]","[0.6694105083070523, 1.0451903938078317, -0.49158328180638494, -1.2051985120725521, 1.9262922694880174, -0.09563608238338357, -0.9884844977443864]","[0.6689202845298947, 1.0579180186611317, -0.4845269864611415, -1.2179669277834884, 1.914779825601027, -0.10874194399329337, -0.9788483164703267]","[0.6687688004851936, 1.0618509818955875, -0.48234652070384765, -1.2219124958004728, 1.9112223654253742, -0.11279178616429938, -0.9758706401867898]","[0.668729814445214, 1.062863172071785, -0.4817853545073949, -1.2229279299523417, 1.9103068149797295, -0.11383405638557445, -0.9751043033302212]","[0.6683244335537795, 1.0733880306145347, -0.47595029013359735, -1.233486519690928, 1.9007868263888887, -0.12467169036010126, -0.9671358531306951]","[0.6680527104220968, 1.0804427477563132, -0.4720390994516507, -1.2405638465470805, 1.8944056644541658, -0.13193605803458017, -0.961794673295577]","[0.6662438049725857, 1.1274071567247312, -0.44600166165664573, -1.2876787720920229, 1.8519252229604504, -0.18029614498133717, -0.9262375631933404]","[ 0.66564176  1.14303801 -0.4373358  -1.30335972  1.83778674 -0.19639151
 -0.91440333]"
